job_id,job_title,domain,company,location,state,employment_type,seniority,salary_min_lpa,salary_max_lpa,experience_min_years,experience_max_years,job_description,skills,skills_count,source_type,source_note
SKL100001,Machine Learning Engineer,AI & Machine Learning,DataBridge,Pune,Maharashtra,Full-time,Mid Level,8.7,10.2,2,4,"Develop, test, deploy, and maintain machine-learning pipelines and production models. The role is based in Pune and works with cross-functional teams.","JavaScript, Scikit-learn, Docker, Sensors, Python, TensorFlow, PyTorch, Machine Learning",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100002,Predictive Maintenance Engineer,Engineering & Manufacturing,TechNova Solutions,Delhi,Delhi,Full-time,Senior,11.3,15.8,4,6,Use machine and sensor data to identify failure patterns and improve maintenance planning. The role is based in Delhi and works with cross-functional teams.,"PLC, IoT, Communication, Python, Machine Learning, Predictive Maintenance, Sensor Analytics",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100003,Cybersecurity Analyst,Cybersecurity,Vertex Systems,Nashik,Maharashtra,Full-time,Mid Level,4.8,6.3,2,3,"Monitor security events, investigate incidents, assess risks, and support security controls. The role is based in Nashik and works with cross-functional teams.","Market Research, Python, Linux, Incident Response, SIEM, Cybersecurity, Networking",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100004,Electronics Engineer,Electronics & Embedded,Quantix Labs,Kolkata,West Bengal,Full-time,Senior,8.1,9.3,4,6,"Design, test, and troubleshoot electronic systems, PCBs, and embedded hardware. The role is based in Kolkata and works with cross-functional teams.","Testing, MATLAB, C, Embedded Systems, Circuit Design, PCB Design",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100005,Automation Engineer,Engineering & Automation,Quantix Labs,Noida,Uttar Pradesh,Contract,Junior,6.8,11.2,1,4,"Design and maintain industrial automation systems, PLC programs, sensors, and control workflows. The role is based in Noida and works with cross-functional teams.","Industrial Automation, IoT, PLC, TensorFlow, Node.js, Sensors, Python, SCADA",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100006,Cybersecurity Analyst,Cybersecurity,CoreStack,Kolkata,West Bengal,Full-time,Junior,11.6,16.5,1,4,"Monitor security events, investigate incidents, assess risks, and support security controls. The role is based in Kolkata and works with cross-functional teams.","Python, Incident Response, Linux, SIEM, Networking, Cybersecurity",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100007,Embedded Systems Engineer,Electronics & Embedded,SmartFab Technologies,Kolkata,West Bengal,Contract,Junior,7.6,13.1,1,5,Develop firmware and embedded applications for microcontrollers and connected devices. The role is based in Kolkata and works with cross-functional teams.,"C, RTOS, Microcontrollers, CI/CD, Git, C++, Embedded Systems",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100008,HR Analyst,HR & Operations,IndusWorks,Nagpur,Maharashtra,Full-time,Senior,3.5,4.8,4,8,"Analyze workforce data, prepare HR reports, and support evidence-based people and talent decisions. The role is based in Nagpur and works with cross-functional teams.","Excel, Communication, Power BI, Data Analysis, HR Analytics",5,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100009,Game Developer,Gaming & Interactive,SkillTech,Bengaluru,Karnataka,Full-time,Mid Level,12.7,18.0,3,6,"Develop gameplay systems, implement mechanics, optimize performance, and collaborate with design teams. The role is based in Bengaluru and works with cross-functional teams.","Git, Unity, Game Development, C#, C++, 3D Mathematics",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100010,Product Manager,Product & Business,Nova Mobility,Bengaluru,Karnataka,Full-time,Senior,19.4,24.8,5,6,"Define product priorities, analyze user and market needs, coordinate teams, and measure product outcomes. The role is based in Bengaluru and works with cross-functional teams.","SQL, Communication, Agile, Product Management, Analytics, Market Research, JavaScript",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100011,Software Engineer,Software & IT,Nova Mobility,Thane,Maharashtra,Full-time,Senior,11.0,14.4,4,5,"Design, develop, test, and maintain software services while collaborating with engineering teams. The role is based in Thane and works with cross-functional teams.","Git, REST API, Python, Java, Data Structures, SQL",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100012,AI Engineer,AI & Machine Learning,AutoNext,Gurugram,Haryana,Contract,Junior,8.7,12.0,1,3,"Develop and deploy AI solutions, integrate machine-learning models into applications, and improve production performance. The role is based in Gurugram and works with cross-functional teams.","Python, PyTorch, SQL, Deep Learning, Cybersecurity, TensorFlow, Machine Learning, CAD",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100013,Predictive Maintenance Engineer,Engineering & Manufacturing,Apex Digital,Hyderabad,Telangana,Full-time,Junior,5.1,6.2,1,3,Use machine and sensor data to identify failure patterns and improve maintenance planning. The role is based in Hyderabad and works with cross-functional teams.,"MATLAB, Machine Learning, Predictive Maintenance, IoT, PLC, Communication, Python, Sensor Analytics",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100014,AI Engineer,AI & Machine Learning,CloudSphere,Chennai,Tamil Nadu,Contract,Mid Level,9.8,11.4,3,7,"Develop and deploy AI solutions, integrate machine-learning models into applications, and improve production performance. The role is based in Chennai and works with cross-functional teams.","TensorFlow, Deep Learning, Python, Machine Learning, SQL, Industrial AI, Linux, PyTorch",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100015,HR Analyst,HR & Operations,Prime Automation,Bengaluru,Karnataka,Full-time,Mid Level,7.0,13.0,3,4,"Analyze workforce data, prepare HR reports, and support evidence-based people and talent decisions. The role is based in Bengaluru and works with cross-functional teams.","Data Analysis, HR Analytics, Power BI, Communication, Excel",5,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100016,DevOps Engineer,Cloud & DevOps,Vertex Systems,Nagpur,Maharashtra,Full-time,Senior,7.7,9.6,5,9,"Automate software delivery, maintain CI/CD pipelines, monitor systems, and improve deployment reliability. The role is based in Nagpur and works with cross-functional teams.","Docker, Kubernetes, CI/CD, Git, AWS, Linux, Data Analysis",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100017,DevOps Engineer,Cloud & DevOps,Prime Automation,Nashik,Maharashtra,Contract,Senior,8.6,11.6,4,8,"Automate software delivery, maintain CI/CD pipelines, monitor systems, and improve deployment reliability. The role is based in Nashik and works with cross-functional teams.","CI/CD, Kubernetes, Git, Linux, AWS, Docker",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
